ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,LIGHT,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z_azimuth,ORIENTATION_X_pitch,ORIENTATION_Y_roll,PROXIMITY,SOUND_LEVEL,LOCATION_Latitude,LOCATION_Longitude,LOCATION_Altitude,LOCATION_Altitude-google,LOCATION_Speed,LOCATION_Accuracy,LOCATION_ORIENTATION,Satellites_in_range,Time,Date
0.095367,2.916702,8.82933,-0.319672,3.134385,9.286756,-1.738202,1.130734,-0.277393,-0.351807,-0.139053,0.99498,62,8.1467,-26.7227,-42.8864,200.6151,-20.2281,5.4711,5,43.95156,59.99795,30.359783,0,NaN,0,24.277,0,0 / 1,70,2020-01-17 14:54:03:270
0.095367,2.916702,8.82933,-0.319672,3.134385,9.286756,-1.738202,1.130734,-0.277393,-0.351807,-0.139053,0.99498,62,8.1467,-26.7227,-42.8864,200.6151,-20.2281,5.4711,5,43.95156,59.99795,30.359783,0,NaN,0,24.277,0,0 / 1,2570,2020-01-17 14:54:03:270
6.635132,-5.422302,10.614212,-2.456496,-9.365982,-1.553827,-3.26982,4.869727,7.16475,2.150498,-2.469665,0.158737,0,1.4603,51.5808,11.0916,338.5043,65.4194,147.9508,0,62.73329,59.99795,30.359783,0,NaN,0,24.277,0,0 / 1,5069,2020-01-17 14:54:08:269
2.360291,-5.94783,-4.00119,-0.335304,-7.237229,-6.609121,1.836704,-3.340152,1.573887,-1.601364,0.145554,0.515961,0,-15.2893,44.4305,15.3915,294.6578,65.3496,166.3722,0,65.18851,59.99795,30.359783,0,NaN,0,24.277,0,0 / 1,10069,2020-01-17 14:54:13:269
-1.986389,-7.197601,-3.571442,-1.773372,-9.560275,-1.275415,-0.779313,2.685393,-2.42767,-0.263931,-0.436783,-0.322037,0,11.3098,49.3805,20.0424,237.5822,75.019,123.1964,0,65.44429,59.99812,30.359743,0,NaN,0,64.1,0,0 / 1,15070,2020-01-17 14:54:18:270
-2.690277,-8.015213,-3.473282,-0.620971,-9.519783,-2.271236,-0.050108,0.785708,-1.564738,0.108566,0.418091,0.056305,0,-17.8894,51.1307,12.3932,291.4892,72.739,166.5324,0,60.58652,59.99812,30.359743,0,NaN,0,64.1,0,0 / 1,20069,2020-01-17 14:54:23:269
-1.964844,-9.039932,-1.64769,-0.691232,-9.667379,-1.49478,0.709462,0.123268,0.737073,1.078659,1.193237,0.494125,0,0.5096,47.4289,5.5923,358.7512,74.153,169.1033,0,61.74922,59.99812,30.359743,0,NaN,0,64.1,0,0 / 1,25070,2020-01-17 14:54:28:270
-0.741409,-9.457733,-1.816482,-0.777276,-9.764243,0.475179,-0.545284,2.119234,-2.337386,1.310181,0.585693,-0.063538,0,-14.1403,44.0796,17.1417,274.7064,81.3222,142.4027,0,60.0201,59.99812,30.359743,0,NaN,0,64.1,0,0 / 1,30069,2020-01-17 14:54:33:269
-3.074554,-9.147675,-4.934936,-0.688855,-9.75948,0.669638,-1.437672,2.187926,-2.560639,1.200272,-0.101593,-0.534744,0,-3.9398,53.3814,1.1917,340.834,78.4462,152.6649,0,61.92012,59.998184,30.359995,0,NaN,0,52.977005,0,0 / 1,35069,2020-01-17 14:54:38:269
-1.166367,-7.294571,-3.23027,-1.782187,-9.490863,-1.708135,-1.268945,-1.451398,3.539542,1.374268,0.531891,0.32724,0,0.4089,49.881,21.4905,255.0637,74.351,145.4822,0,63.13819,59.998184,30.359995,0,NaN,0,52.977005,0,0 / 1,40070,2020-01-17 14:54:43:270
0.950104,-11.071411,-14.685318,-0.99536,-9.240249,-3.13009,1.809049,5.640753,2.523614,2.581391,-0.568878,-0.962265,0,-14.74,47.5296,22.5937,302.8159,54.2018,165.2998,0,58.61206,59.998184,30.359995,0,NaN,0,52.977005,0,0 / 1,45069,2020-01-17 14:54:48:269
0.996796,-13.566177,-0.564316,-1.395408,-8.187998,-5.213435,1.334886,-5.708509,5.519398,-1.287476,1.313797,0.609711,0,15.1108,35.8307,16.0889,152.7068,69.8895,147.5061,0,58.93238,59.998184,30.359995,0,NaN,0,52.977005,0,0 / 1,50070,2020-01-17 14:54:53:270
1.612091,-9.570251,-5.441314,-0.629521,-7.56889,-6.203708,1.165799,-2.268237,3.745014,-0.876099,-0.075485,0.683914,0,1.86,44.7815,23.941,22.7505,78.774,135.1621,0,51.6357,59.997925,30.364447,0,NaN,0,600,0,0 / 1,55069,2020-01-17 14:54:58:269
0.368317,-6.633758,-2.589813,-0.949661,-7.461372,-6.292572,0.624356,-1.317891,2.911478,-0.721817,0.058548,0.593903,0,9.111,24.7803,24.791,163.6971,62.0021,167.4958,0,49.60112,59.997925,30.364447,0,NaN,0,600,0,0 / 1,60070,2020-01-17 14:55:03:270
-3.23497,-17.735672,-2.428207,-1.373203,-9.465355,-2.166045,-0.161425,1.222951,-1.470313,-0.722,0.404236,0.133713,0,-13.4399,32.579,-4.9591,336.4698,78.1925,145.3205,0,45.76963,59.997925,30.364447,0,NaN,0,600,0,0 / 1,65069,2020-01-17 14:55:08:269
-1.333969,-10.579407,-4.780517,-0.975406,-9.621766,-1.624987,-3.361358,-1.629392,-4.486431,-2.886429,2.074036,0.359909,0,3.1097,23.5809,-2.3087,246.0647,83.635,33.0619,0,54.38735,59.997925,30.364447,0,NaN,0,600,0,0 / 1,70069,2020-01-17 14:55:13:269
0.125305,-7.749466,-0.200409,-0.552716,-8.197013,-5.3548,-2.554998,-2.206629,4.247145,-1.937286,3.512848,1.91626,0,-21.991,28.2806,10.1913,337.5454,85.3318,90.0086,0,45.73735,59.998264,30.360077,0,NaN,0,98.4,0,0 / 1,75070,2020-01-17 14:55:18:270
1.194305,-4.225204,-1.776977,-1.170402,-8.510064,-4.730683,-0.799327,-0.377653,4.959847,-0.34436,3.664475,1.129196,0,10.1105,21.3806,2.5909,78.0472,67.6876,156.0107,0,65.25569,59.998264,30.360077,0,NaN,0,98.4,0,0 / 1,80070,2020-01-17 14:55:23:270
-0.415787,-4.259918,-1.463348,-1.036022,-8.324911,-5.078671,0.721219,-0.521807,2.204889,0.873596,1.17424,1.407944,0,-9.14,13.6826,21.8903,222.7897,58.3756,176.9778,0,60.76279,59.998264,30.360077,0,NaN,0,98.4,0,0 / 1,85069,2020-01-17 14:55:28:269
-3.337921,-8.425827,-1.6082,-1.474605,-9.69486,0.074998,-0.981495,2.246012,-1.698195,0.346817,-0.956284,-0.249954,0,3.363,23.9868,-6.8115,62.7285,79.0221,108.1368,0,57.06325,59.998264,30.360077,0,NaN,0,98.4,0,0 / 1,90069,2020-01-17 14:55:33:269
0.234238,-12.145218,3.698563,-0.269041,-9.80277,-0.060973,-1.025149,-2.04736,-1.334752,-0.721466,0.409744,-0.187637,0,-11.3388,25.4807,-19.9097,110.9791,85.1892,35.2072,0,72.04244,59.998264,30.360077,0,NaN,0,98.4,0,0 / 1,95069,2020-01-17 14:55:38:269
