ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,LIGHT,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z_azimuth,ORIENTATION_X_pitch,ORIENTATION_Y_roll,PROXIMITY,SOUND_LEVEL,LOCATION_Latitude,LOCATION_Longitude,LOCATION_Altitude,LOCATION_Altitude-google,LOCATION_Speed,LOCATION_Accuracy,LOCATION_ORIENTATION,Satellites_in_range,Time,Date
0.011581,-0.208923,9.846863,-0.02304,-0.222139,9.804107,0.034688,0.01385,0.014763,-0.000687,0.004868,-0.003311,27,-3.1342,-3.9093,-46.8445,148.3842,1.3072,0.1483,5,14.42578,59.998184,30.360464,0,NaN,0,23.21,0,0 / 1,11,2020-01-11 21:42:12:347
0.011581,-0.208923,9.846863,-0.02304,-0.222139,9.804107,0.034688,0.01385,0.014763,-0.000687,0.004868,-0.003311,27,-3.1342,-3.9093,-46.8445,148.3842,1.3072,0.1483,5,14.42578,59.998184,30.360464,0,NaN,0,23.21,0,0 / 1,2251,2020-01-11 21:42:12:347
-0.008774,-0.223297,9.800186,-0.02307,-0.227223,9.80399,0.014292,0.003894,-0.002414,-0.001221,0.005402,-0.003311,24,-6.4865,-7.5592,-48.3444,146.1697,1.3419,0.1354,5,11.28853,59.998184,30.360464,0,NaN,0,23.21,0,0 / 1,5012,2020-01-11 21:42:17:348
0.011581,-0.225677,9.860031,-0.011612,-0.223593,9.804093,0.023262,-0.000765,-0.001916,-0.001221,0.004868,-0.003845,24,-3.3844,-3.0579,-47.6456,153.4528,1.3041,0.0515,5,32.30585,59.998184,30.360464,0,NaN,0,23.21,0,0 / 1,10012,2020-01-11 21:42:22:348
0.001999,-0.222092,9.814545,-0.013232,-0.22282,9.80411,0.015261,0.00124,-0.012084,-0.001221,0.004868,-0.003845,24,-3.8864,-5.809,-48.2437,150.2455,1.3119,0.0682,5,17.31999,59.998184,30.360464,0,NaN,0,23.21,0,0 / 1,15011,2020-01-11 21:42:27:347
-0.014755,-0.183792,9.873199,-0.015177,-0.223376,9.804094,0.00053,0.041185,-0.00115,-0.001755,0.004333,-0.004379,24,-2.5848,-3.508,-47.5449,148.9857,1.3317,0.0892,5,22.59068,59.998184,30.360464,0,NaN,0,23.21,0,0 / 1,20011,2020-01-11 21:42:32:347
0.011581,-0.21611,9.851654,-0.009643,-0.221107,9.804152,0.02128,0.00627,-0.008916,-0.000687,0.004333,-0.003311,24,-3.0853,-4.5593,-47.1954,153.2958,1.2891,0.0566,5,11.86134,59.998184,30.360464,0,NaN,0,23.21,0,0 / 1,25011,2020-01-11 21:42:37:347
0.019958,-0.226883,9.856445,-0.009526,-0.220646,9.804163,0.029533,-0.005115,0.002422,-0.000687,0.002731,-0.003311,24,-3.9871,-3.7582,-46.8445,141.3612,1.2984,0.0586,5,19.02504,59.998184,30.360464,0,NaN,0,23.21,0,0 / 1,30013,2020-01-11 21:42:42:349
-0.304459,-0.317856,9.729553,-0.027113,-0.204298,9.804484,-0.277319,-0.113358,-0.08455,-0.000687,0.001144,-0.005966,24,-4.6844,-5.2094,-47.6456,140.0879,1.3177,0.1247,5,42.4792,59.998184,30.360464,0,NaN,0,23.21,0,0 / 1,35010,2020-01-11 21:42:47:346
0.02594,-0.2173,9.864822,-0.011571,-0.222788,9.804112,0.037583,0.006868,-3.1E-05,-0.001221,0.003799,-0.003845,26,-4.0863,-4.0604,-47.0428,141.2049,1.2997,0.0872,5,23.8597,59.998184,30.360464,0,NaN,0,23.21,0,0 / 1,40011,2020-01-11 21:42:52:347
