ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,LIGHT,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z_azimuth,ORIENTATION_X_pitch,ORIENTATION_Y_roll,PROXIMITY,SOUND_LEVEL,LOCATION_Latitude,LOCATION_Longitude,LOCATION_Altitude,LOCATION_Altitude-google,LOCATION_Speed,LOCATION_Accuracy,LOCATION_ORIENTATION,Satellites_in_range,Time,Date
2.736176,3.32013,8.016495,2.495507,3.335706,8.877831,0.075209,0.191499,-0.661207,-0.043671,0.483246,0.113083,333,-21.6629,-29.805,-28.9398,143.0539,-20.0222,-17.2934,5,13.35475,60.021183,30.370975,0,NaN,0,23.6,0,0 / 1,32,2020-01-10 16:45:45:874
2.736176,3.32013,8.016495,2.495507,3.335706,8.877831,0.075209,0.191499,-0.661207,-0.043671,0.483246,0.113083,333,-21.6629,-29.805,-28.9398,143.0539,-20.0222,-17.2934,5,13.35475,60.021183,30.370975,0,NaN,0,23.6,0,0 / 1,2532,2020-01-10 16:45:45:874
5.883347,-2.880859,-7.268081,5.895776,-2.862138,-7.295093,-0.002409,-0.014457,0.01477,0.001266,0.000412,-0.003571,0,-25.4135,-6.2561,32.8598,175.8781,16.972,-141.076,0,12.88382,60.021183,30.370975,0,NaN,0,23.6,0,0 / 1,100031,2020-01-10 16:47:25:873
6.132355,-2.996979,-7.096893,6.133234,-2.984547,-7.046014,-0.010602,0.0052,-0.007428,-0.000305,0.000336,0.000168,0,-26.6129,-7.9041,33.0093,176.3405,17.7234,-138.9404,0,19.08749,60.021183,30.370975,0,NaN,0,23.6,0,0 / 1,200031,2020-01-10 16:49:05:873
5.750473,-2.934723,-7.390198,5.738831,-2.934972,-7.390679,0.002978,0.001161,0.019099,0.00061,-0.000824,-0.000168,0,-19.8624,-4.7562,35.1105,161.2658,17.4146,-142.1708,0,26.11025,60.021183,30.370975,0,NaN,0,23.6,0,0 / 1,300031,2020-01-10 16:50:45:873
5.337479,-1.986618,-7.973175,5.338149,-1.972421,-7.986496,0.009359,0.002019,0.020062,0.015976,0.007751,-0.007324,0,-18.5135,-11.7554,35.6583,168.1644,11.6091,-146.2949,0,15.75993,60.021183,30.370975,0,NaN,0,23.6,0,0 / 1,400032,2020-01-10 16:52:25:874
5.22255,-1.700516,-8.096481,5.221305,-1.707149,-8.123668,-0.015398,0.015213,-0.002707,0.003967,-0.002838,-0.004456,0,-18.2129,-10.7559,35.2585,167.9077,10.0252,-147.27,0,16.74493,60.021183,30.370975,0,NaN,0,23.6,0,0 / 1,500031,2020-01-10 16:54:05:873
5.879761,1.143799,-7.635589,5.929685,1.201284,-7.71791,0.013034,-0.003632,0.009752,0.000809,-0.001358,0.002747,0,-19.4122,-23.204,31.5094,166.3941,-7.0362,-142.4649,0,14.04839,60.021183,30.370975,0,NaN,0,60,0,0 / 1,600031,2020-01-10 16:55:45:873
7.333039,-1.109146,-6.330749,7.370436,-1.138466,-6.367963,0.006029,0.022612,-0.000307,0.000641,0.002304,-0.000153,0,-26.4572,-15.2924,31.8008,159.7987,6.6666,-130.8266,0,10.47359,60.021183,30.370975,0,NaN,0,60,0,0 / 1,700032,2020-01-10 16:57:25:874
6.298752,-3.787063,-6.504333,6.299115,-3.778243,-6.497416,-0.00556,-0.005703,-0.001556,-0.000412,-0.000793,-0.000122,0,-24.0082,-5.6412,37.1506,158.9644,22.6567,-135.8663,0,12.00162,60.021183,30.370975,0,NaN,0,60,0,0 / 1,800031,2020-01-10 16:59:05:873
6.339447,-3.820572,-6.468429,6.328091,-3.820171,-6.444529,0.003308,0.004457,-0.015705,-0.000137,0.000687,0.000488,0,-25.206,-4.4418,35.5026,160.1942,22.928,-135.5179,0,11.5893,60.021183,30.370975,0,NaN,0,60,0,0 / 1,900031,2020-01-10 17:00:45:873
6.335861,-3.820572,-6.457641,6.325136,-3.816468,-6.44962,0.003851,4.4E-05,-0.001012,-1.5E-05,-0.000275,-0.000854,0,-25.9567,-5.9418,36.2503,163.6111,22.8983,-135.5498,0,13.07623,60.021183,30.370975,0,NaN,0,60,0,0 / 1,1000031,2020-01-10 17:02:25:873
6.525406,-3.566391,-6.402191,6.507561,-3.565035,-6.411908,0.015218,8.3E-05,0.012306,-0.011597,-0.005051,0.0103,0,-25.8072,-5.043,34.4513,163.4289,21.3173,-134.5758,0,15.70311,60.021183,30.370975,0,NaN,0,60,0,0 / 1,1100031,2020-01-10 17:04:05:873
6.478318,-3.582352,-6.442093,6.479189,-3.579853,-6.432352,-0.001901,-0.00193,-0.008718,9.2E-05,-0.000214,-0.000443,0,-26.857,-6.1432,35.9024,163.3322,21.3916,-134.7803,0,11.22832,60.021183,30.370975,0,NaN,0,60,0,0 / 1,1200031,2020-01-10 17:05:45:873
6.572891,-3.328567,-6.473205,6.564597,-3.335135,-6.477138,0.011166,0.005108,0.0011,0.001068,0.001251,-0.000793,0,-28.5065,-8.5922,32.7026,172.3889,19.8823,-134.6158,0,22.14734,60.021183,30.370975,0,NaN,0,60,0,0 / 1,1300032,2020-01-10 17:07:25:874
6.534577,-3.323776,-6.495956,6.543228,-3.329335,-6.501699,-0.009256,0.005866,0.006343,-0.001099,0.001007,0.002029,0,-28.0579,-7.8918,33.7021,168.9328,19.8463,-134.8176,0,15.67896,60.021183,30.370975,0,NaN,0,60,0,0 / 1,1400032,2020-01-10 17:09:05:874
4.333908,-5.20842,-7.020279,4.291308,-5.382018,-6.984907,0.022655,0.198614,-0.002905,0.132401,0.065125,0.018204,0,-11.557,0.6561,41.6504,152.4619,32.4957,-148.9613,0,36.75018,60.021183,30.370975,0,NaN,0,60,0,0 / 1,1500032,2020-01-10 17:10:45:874
6.03299,-3.69368,-6.802414,6.032714,-3.678949,-6.800153,-0.010179,-0.008355,0.009524,-0.000259,0.00148,0.001968,0,-21.1075,-5.8411,38.6002,154.9188,22.0335,-138.4224,0,12.97931,60.021183,30.370975,0,NaN,0,60,0,0 / 1,1600032,2020-01-10 17:12:25:874
6.047364,-3.69368,-6.798828,6.037966,-3.684422,-6.792525,-0.000686,-0.003105,0.00504,0.000412,-9.2E-05,-0.000809,0,-21.0083,-4.5929,37.9013,156.0566,22.0701,-138.3856,0,12.69339,60.021183,30.370975,0,NaN,0,60,0,0 / 1,1700031,2020-01-10 17:14:05:873
4.419693,-1.530533,-8.580902,4.436998,-1.53311,-8.610053,-0.014345,0.001554,0.023407,-0.060135,-0.04071,0.02623,0,-27.1576,-7.0923,52.0004,180.6431,8.9942,-152.7367,0,26.12308,60.021183,30.370975,0,NaN,0,60,0,0 / 1,1800032,2020-01-10 17:15:45:874
5.172272,-3.196884,-7.732559,5.160342,-3.192181,-7.703975,-0.001581,0.003655,-0.008413,-0.000473,0.000549,0.000168,0,-15.3061,-9.3933,38.8001,157.0061,18.9965,-146.1869,0,31.41788,60.021183,30.370975,0,NaN,0,60,0,0 / 1,1900032,2020-01-10 17:17:25:874
6.273209,-0.654648,-7.441269,6.250443,-0.747365,-7.519561,0.047725,0.089733,0.048265,-0.015488,-0.021759,-0.000885,0,-17.2562,-18.3929,36.5509,153.2844,4.5999,-140.2096,0,10.50224,60.021183,30.370975,0,NaN,0,60,0,0 / 1,2000031,2020-01-10 17:19:05:873
3.813568,-2.767135,-8.635178,3.80069,-2.760775,-8.608325,0.000185,-0.005397,-0.004164,0.000473,0.002151,0.0009,0,-5.8563,-10.141,39.2502,153.2162,16.3532,-156.1844,0,13.22818,60.021183,30.370975,0,NaN,0,60,0,0 / 1,2100031,2020-01-10 17:20:45:873
4.945221,-3.535263,-8.006698,4.242226,-3.711391,-8.024929,0.658106,0.2154,0.103147,-0.020294,-0.210876,0.167511,0,-23.5565,4.7089,41.3528,181.6623,22.2606,-150.1247,0,56.5143,60.021183,30.370975,0,NaN,0,60,0,0 / 1,2200031,2020-01-10 17:22:25:873
3.065384,-7.347244,-5.940506,3.022828,-7.258626,-5.860482,0.005736,-0.000204,-0.008639,-0.000641,0.001984,-0.000916,0,-10.2066,16.8564,35.8017,154.0624,47.7702,-152.7139,0,16.49835,60.021183,30.370975,0,NaN,0,60,0,0 / 1,2300032,2020-01-10 17:24:05:874
6.064514,-6.728729,-4.075424,5.988035,-6.744791,-3.849884,0.029282,0.069224,-0.195195,0.045166,0.018662,0.064423,0,-25.9552,14.0076,27.4017,148.9938,43.1539,-122.4467,0,25.827,60.021183,30.370975,0,NaN,0,60,0,0 / 1,2400032,2020-01-10 17:25:45:874
4.796387,-5.594681,-6.448074,4.791712,-5.599839,-6.469286,-0.03148,0.047412,0.070025,0.006195,0.105957,-0.013199,0,-20.4071,6.4575,35.5011,166.1943,34.9719,-144.5929,0,29.4619,60.021183,30.370975,0,NaN,0,116.09999,0,0 / 1,2500031,2020-01-10 17:27:25:873
1.156006,-9.730667,-2.022385,1.124075,-9.538342,-1.98164,0.008886,0.003222,-0.000119,0.004059,0.000931,0.007492,0,-0.3067,33.4564,22.1512,135.2394,76.5665,-150.4361,0,38.20589,60.021183,30.370975,0,NaN,0,68.4,0,0 / 1,2600032,2020-01-10 17:29:05:874
-1.065018,-9.88829,-1.317291,-1.075066,-9.663047,-1.280681,0.034132,-0.008778,-0.007922,0.003601,-0.002594,0.007675,0,10.9436,33.9584,20.8008,196.7098,80.1383,139.9325,0,17.38416,60.021183,30.370975,0,NaN,0,68.4,0,0 / 1,2700032,2020-01-10 17:30:45:874
-1.561417,-9.885895,-0.467361,-1.482069,-9.679549,-0.529307,-0.045232,0.016466,0.07413,-0.00325,-0.013184,-0.022049,0,14.3921,34.3567,15.6006,220.4164,80.3943,108.5095,0,35.8765,60.021183,30.370975,0,NaN,0,68.4,0,0 / 1,2800031,2020-01-10 17:32:25:873
5.695404,-4.280258,-6.766495,5.679826,-4.265918,-6.761058,-0.000542,-0.002232,0.013753,0.000443,-0.000122,0.001114,0,-10.9558,0.5066,38.8001,132.3087,25.7855,-139.9671,0,38.49585,60.021183,30.370975,0,NaN,0,68.4,0,0 / 1,2900031,2020-01-10 17:34:05:873
5.691818,-4.262314,-6.78685,5.668776,-4.25471,-6.777375,0.002801,0.007589,0.014726,-0.000336,-0.001541,-0.000473,0,-10.0571,1.1078,38.6505,130.5805,25.7128,-140.09,0,28.96903,60.021183,30.370975,0,NaN,0,68.4,0,0 / 1,3000031,2020-01-10 17:35:45:873
5.750473,-4.379623,-6.665939,5.733722,-4.358607,-6.655627,-0.004482,-0.004875,0.014337,-0.000854,9.2E-05,0.000427,0,-11.1084,-0.6912,36.7004,136.3184,26.3901,-139.2737,0,36.48384,60.021183,30.370975,0,NaN,0,68.4,0,0 / 1,3100032,2020-01-10 17:37:25:874
5.815125,-4.458633,-6.641998,5.753486,-4.409332,-6.604966,0.032049,-0.026625,-0.003063,-0.004059,-0.012695,-0.010757,0,-12.8571,0.3586,36.5006,138.4897,26.7197,-138.9414,0,11.41441,60.021183,30.370975,0,NaN,0,68.4,0,0 / 1,3200032,2020-01-10 17:39:05:874
2.410568,-2.900406,-9.072128,2.397295,-2.892886,-9.058398,0.00476,0.002754,0.018438,-0.007111,0.022644,-0.010178,0,-7.3074,-1.3931,46.5515,160.5488,17.1571,-165.1766,0,38.21842,60.021183,30.370975,0,NaN,0,68.4,0,0 / 1,3300032,2020-01-10 17:40:45:874
2.585739,-4.160553,-8.569336,2.598231,-4.104362,-8.519026,-0.028195,-0.031385,0.001177,0.00267,-0.004807,0.001968,0,-9.8083,5.2582,44.6014,168.3299,24.6652,-162.9525,0,19.89058,60.021183,30.370975,0,NaN,0,68.4,0,0 / 1,3400032,2020-01-10 17:42:25:874
1.340759,-5.113449,-8.382187,1.293534,-5.059697,-8.300399,0.034488,-0.003926,-5E-05,-0.003372,-0.002808,0.006927,0,-0.4562,6.958,42.2501,157.2171,31.0607,-171.1326,0,41.55795,60.021183,30.370975,0,NaN,0,92.9,0,0 / 1,3500031,2020-01-10 17:44:05:873
2.201065,-2.761932,-9.015854,2.222679,-2.811376,-9.128322,-0.020927,0.048575,0.109648,-0.00798,-0.013596,0.022079,0,-3.6057,2.3087,45.7001,147.9351,16.6593,-166.3152,0,42.40563,60.021183,30.370975,0,NaN,0,92.9,0,0 / 1,3600031,2020-01-10 17:45:45:873
-2.738159,-1.659409,-9.299561,-1.863485,-1.687121,-9.478999,-0.867573,0.034142,0.215559,-0.104019,-0.344543,-0.175339,0,27.0782,-11.2625,38.2858,133.44,9.9064,168.878,0,40.18488,60.021183,30.370975,0,NaN,0,92.9,0,0 / 1,3700031,2020-01-10 17:47:25:873
-1.152008,-9.754608,2.007446,-1.116805,-9.545415,1.951455,-0.008912,0.015524,0.010051,-0.00354,0.006638,-0.010056,0,17.2745,38.0539,2.5375,280.5581,76.7456,29.7822,0,9.43123,60.021183,30.370975,0,NaN,0,92.9,0,0 / 1,3800032,2020-01-10 17:49:05:874
-2.881424,-8.059509,-0.989685,-0.908569,-9.722445,-0.90496,-1.956713,1.835664,-0.068647,1.17128,1.03125,0.449249,0,11.0245,33.3557,20.0378,165.6227,80.4403,161.9541,0,72.20111,60.021183,30.370975,0,NaN,0,92.9,0,0 / 1,3900031,2020-01-10 17:50:45:873
0.655609,-10.005997,-0.30455,0.637828,-9.782643,-0.251899,0.003561,-0.00526,-0.047036,-0.007614,0.045883,0.002548,0,14.5752,39.6042,12.6373,55.3507,85.9681,-111.0749,0,38.53453,60.021183,30.370975,0,NaN,0,92.9,0,0 / 1,4000031,2020-01-10 17:52:25:873
-1.49678,-9.834808,-0.924652,-1.370019,-9.666354,-0.924669,-0.055705,0.01135,0.000282,0.003922,-0.013596,0.00238,0,15.5243,35.0052,19.136,200.3436,80.3394,124.5441,0,32.64906,60.021183,30.370975,0,NaN,0,92.9,0,0 / 1,4100032,2020-01-10 17:54:05:874
