ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,LIGHT,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z_azimuth,ORIENTATION_X_pitch,ORIENTATION_Y_roll,PROXIMITY,SOUND_LEVEL,LOCATION_Latitude,LOCATION_Longitude,LOCATION_Altitude,LOCATION_Altitude-google,LOCATION_Speed,LOCATION_Accuracy,LOCATION_ORIENTATION,Satellites_in_range,Time,Date
-11.797821,-9.091415,6.869675,-9.562705,-2.172022,-0.085918,3.547569,-9.66649,1.704968,0.46312,5.955689,-4.491485,111,-4.155,-13.3331,-37.2894,73.2319,-26.2265,13.6794,5,62.98337,60.02108,30.3708,0,NaN,0,39.6,0,0 / 31,15,2020-01-17 15:37:35:531
-11.797821,-9.091415,6.869675,-9.562705,-2.172022,-0.085918,3.547569,-9.66649,1.704968,0.46312,5.955689,-4.491485,111,-4.155,-13.3331,-37.2894,73.2319,-26.2265,13.6794,5,62.98337,60.02108,30.3708,0,NaN,0,39.6,0,0 / 31,2515,2020-01-17 15:37:35:531
0.941727,-4.314987,-0.121399,-1.908016,-7.913507,-5.468661,0.892896,-1.153898,4.359659,-2.890152,3.092957,1.412735,0,18.7103,-13.7802,1.6617,208.1662,80.8849,64.9947,0,52.39807,60.02108,30.3708,0,NaN,0,39.6,0,0 / 31,5015,2020-01-17 15:37:40:531
-2.428116,-7.056335,-3.221878,-0.662419,-7.278076,-6.539204,-0.972114,-3.190905,1.06366,2.075928,-1.577866,0.144547,0,13.269,-12.4435,46.6736,156.6585,35.4646,-176.5922,0,64.1391,60.02108,30.3708,0,NaN,0,39.6,0,0 / 31,10015,2020-01-17 15:37:45:531
-1.058639,-14.199448,-7.57933,-1.074347,-9.739878,0.388496,-3.086088,-4.757891,-1.188049,0.23764,-0.286591,0.171707,0,-13.5391,3.4988,27.4765,299.4448,83.7391,88.355,0,47.27782,60.02108,30.3708,0,NaN,0,39.6,0,0 / 31,15014,2020-01-17 15:37:50:530
-6.862182,-15.203812,0.927261,-0.926171,-8.226473,-5.257159,-4.26345,-5.986068,5.316986,-1.529465,3.25737,2.400772,0,-8.3252,10.4874,10.7254,256.0589,87.5307,141.7441,0,45.07244,60.02108,30.3708,0,NaN,0,64.1,0,0 / 31,20015,2020-01-17 15:37:55:531
-2.673523,-10.506393,-2.664032,-1.479282,-9.397386,-2.381442,-1.238609,-0.609261,-0.206228,1.660828,-0.861114,-1.021927,0,34.4772,-0.6729,38.1866,136.0241,42.2487,171.826,0,57.45655,60.02108,30.3708,0,NaN,0,64.1,0,0 / 31,25015,2020-01-17 15:38:00:531
-1.283691,-15.325912,-2.294128,-1.182335,-9.71241,-0.664501,-1.713975,0.727834,-1.630643,0.552246,-0.811768,-0.332169,0,1.8478,2.1286,27.5452,216.8253,77.9705,140.2115,0,50.44087,60.02108,30.3708,0,NaN,0,64.1,0,0 / 31,30015,2020-01-17 15:38:05:531
-0.22905,-4.559189,-5.289276,-0.214744,-5.682611,-7.989506,0.660777,1.690324,5.183078,-0.744003,1.581177,0.414063,0,-5.7098,-2.4826,37.03,207.0561,44.078,168.5937,0,57.50885,60.02108,30.3708,0,NaN,0,64.1,0,0 / 31,35014,2020-01-17 15:38:10:530
-1.974411,-6.904312,-3.128509,-1.091891,-9.627471,-1.513267,-1.671095,1.170303,-0.376148,1.909393,-0.743942,-0.557297,0,19.2719,-2.6306,23.1628,144.2616,46.6932,170.5988,0,59.49198,60.019,30.368122,0,NaN,0,500,0,0 / 31,40015,2020-01-17 15:38:15:531
-2.115677,-9.549896,-1.420242,-0.833482,-9.692314,-1.238843,0.03213,0.202554,-0.561725,1.105652,0.5271,0.150055,0,-2.3224,-1.6434,33.1818,196.1135,68.6517,168.0564,0,46.61951,60.019,30.368122,0,NaN,0,500,0,0 / 31,45015,2020-01-17 15:38:20:531
0.927353,-6.104645,-1.489685,-1.469859,-8.967535,-3.686899,-1.037731,-4.48993,3.652369,-2.213547,-0.723877,0.920761,0,-19.2307,15.1077,27.8809,267.4716,83.6737,129.5178,0,55.2,60.019,30.368122,0,NaN,0,500,0,0 / 31,50015,2020-01-17 15:38:25:531
-2.198273,2.879593,13.396271,-1.748929,2.614282,9.28855,-0.362682,0.59939,0.893526,-0.750931,0.61232,0.328293,250,20.4361,-19.8532,-58.0749,255.5166,-13.0837,-7.3345,5,46.59033,60.019,30.368122,0,NaN,0,500,0,0 / 31,55015,2020-01-17 15:38:30:531
