ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,LIGHT,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z_azimuth,ORIENTATION_X_pitch,ORIENTATION_Y_roll,PROXIMITY,SOUND_LEVEL,LOCATION_Latitude,LOCATION_Longitude,LOCATION_Altitude,LOCATION_Altitude-google,LOCATION_Speed,LOCATION_Accuracy,LOCATION_ORIENTATION,Satellites_in_range,Time,Date
0.028336,1.915924,8.282257,0.213186,2.311361,9.527987,0.73735,-0.486515,-1.68904,0.105652,-0.090836,0.305084,186,-14.9368,13.4399,-19.6442,40.7593,-13.0118,-0.502,5,52.47866,60.000633,30.358498,0,NaN,0,500,0,0 / 1,13,2020-01-13 14:59:59:860
0.028336,1.915924,8.282257,0.213186,2.311361,9.527987,0.73735,-0.486515,-1.68904,0.105652,-0.090836,0.305084,186,-14.9368,13.4399,-19.6442,40.7593,-13.0118,-0.502,5,52.47866,60.000633,30.358498,0,NaN,0,500,0,0 / 1,2513,2020-01-13 14:59:59:860
-4.271652,-11.239014,-2.744247,-1.922272,-9.406726,1.997189,-1.159891,-0.71592,-2.821081,-0.349747,-0.677963,0.268692,0,-31.2347,20.6909,-4.4449,46.5425,73.5808,43.905,0,58.61539,60.000633,30.358498,0,NaN,0,500,0,0 / 1,5013,2020-01-13 15:00:04:860
-6.32109,-13.521881,-2.934585,-1.119962,-9.439922,2.409135,-2.397336,-3.652024,-5.871349,-3.047165,0.319824,0.726929,0,-26.6846,16.391,-33.9935,114.419,73.2117,20.409,0,61.27329,60.000633,30.358498,0,NaN,0,500,0,0 / 1,10015,2020-01-13 15:00:09:862
-4.916885,-15.287613,2.30513,-1.244118,-8.696082,-4.35898,0.567666,-2.430117,-6.421205,-0.648376,0.21846,-0.01326,0,-0.3845,47.641,4.805,355.622,62.4681,164.0705,0,60.8689,59.998325,30.360167,0,NaN,0,39.57,0,0 / 1,15014,2020-01-13 15:00:14:861
0.85434,-13.797211,9.69603,-1.266493,-9.717995,0.356334,-0.018988,-3.278327,3.027086,-3.410782,0.212585,0.476776,0,-5.0369,43.3868,-15.4007,67.5906,82.2899,74.2858,0,65.15596,59.998325,30.360167,0,NaN,0,39.57,0,0 / 1,20013,2020-01-13 15:00:19:860
2.829544,-9.115356,-1.776977,-0.603469,-9.666755,-1.536251,1.811278,1.476121,0.786528,2.196945,-0.181549,-0.611389,0,2.4155,48.79,13.9557,1.4189,63.3204,172.8099,0,63.92903,59.998325,30.360167,0,NaN,0,39.57,0,0 / 1,25013,2020-01-13 15:00:24:860
-2.637604,-3.955856,2.414063,-1.946276,-8.011242,-5.310591,-0.423794,3.691072,7.383392,-1.605698,2.303711,0.926498,0,10.1135,48.6404,-3.7476,38.2807,70.9419,141.4689,0,65.77504,59.998325,30.360167,0,NaN,0,39.57,0,0 / 1,30014,2020-01-13 15:00:29:861
1.146423,-13.751724,-0.792969,-1.018643,-8.734449,-4.340753,-3.130697,-3.898573,-2.760541,-0.395721,-0.776154,0.41481,0,10.965,39.4928,21.4554,114.6764,62.957,166.7934,0,65.45317,59.998695,30.360767,0,NaN,0,31.302,0,0 / 1,35013,2020-01-13 15:00:34:860
1.382248,-1.863312,2.708557,-0.583317,-8.001576,-5.639583,1.848275,6.071871,8.700003,2.225357,0.469147,0.671356,0,12.2177,36.8958,24.614,146.8046,63.6127,165.1779,0,59.91747,59.998695,30.360767,0,NaN,0,31.302,0,0 / 1,40014,2020-01-13 15:00:39:861
-0.13208,-15.225357,-4.205902,-1.073045,-8.82767,-4.134151,-1.761076,-1.639868,2.660094,-3.076462,0.799194,0.16217,0,11.1145,43.7897,-0.3952,140.9289,81.5765,106.996,0,58.66857,59.998695,30.360767,0,NaN,0,31.302,0,1 / 2,45013,2020-01-13 15:00:44:860
-2.309601,-12.652786,11.678436,-1.316741,-9.717488,0.083736,0.368388,-3.931161,6.774516,-1.351807,0.032028,0.438782,0,7.8156,38.7909,-17.5446,207.5874,72.3084,13.8449,0,57.69739,59.998695,30.360767,0,NaN,0,31.302,0,2 / 3,50014,2020-01-13 15:00:49:861
-0.263763,-12.804825,-2.547912,-0.644285,-9.603488,1.878376,-1.699006,2.34216,0.411279,1.865646,-0.413788,0.147781,0,7.515,43.9911,-6.9443,268.7435,78.3171,18.932,0,58.64434,59.998608,30.361612,0,NaN,0,34.4,0,2 / 3,55014,2020-01-13 15:00:54:861
-2.959625,-6.885162,2.46315,-0.929236,-9.754893,-0.385937,0.578338,1.28353,-1.20725,1.981415,-2.074707,0.023499,0,6.7139,38.4888,18.9621,123.2499,64.9765,168.6732,0,65.1111,59.998608,30.361612,0,NaN,0,34.4,0,2 / 3,60013,2020-01-13 15:00:59:860
-8.858948,-18.799896,6.111908,-1.279329,-8.688054,-4.364794,7.537922,2.575789,3.372282,0.123947,-0.543381,0.052261,0,5.8151,38.0905,24.054,187.9991,64.013,164.1487,0,60.58066,59.998608,30.361612,0,NaN,0,34.4,0,2 / 3,65014,2020-01-13 15:01:04:861
-1.520721,-21.134247,-25.181503,-1.020267,-8.932431,-3.916775,-0.928237,-2.59635,-7.720427,2.766678,-0.269623,0.995377,0,2.3651,38.0905,22.2046,1.7061,54.0128,175.1497,0,65.06555,59.998608,30.361612,0,NaN,0,34.4,0,2 / 3,70014,2020-01-13 15:01:09:861
